District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Westport School District,King's Highway Elementary School,Public Schools,1580511,125 Post Rd. West,Westport,06880-4602,203-341-1802,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"125 Post Rd. West
Westport, CT 06880-4602
(41.136988, -73.368107)"
East Haven School District,Overbrook Early Learning Center,Public Schools,0441811,54 Gerrish Ave.,East Haven,06512,203-468-3305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001-07-01T00:00:00.000,0,"54 Gerrish Ave.
East Haven, CT 06512
(41.279069, -72.879794)"
Hartford School District,Montessori Magnet at Moylan School,Public Schools,0640511,757 New Britain Avenue,Hartford,06106,860-695-2600,1,1,1,1,1,1,1,1,0,0,0,0,0,0,2013-07-01T00:00:00.000,1,"757 New Britain Avenue
Hartford, CT 06106
(41.733026, -72.707887)"
Manchester School District,Washington School,Public Schools,0771411,94 Cedar St.,Manchester,06040-5890,860-647-3332,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"94 Cedar St.
Manchester, CT 06040-5890
(41.766987, -72.533254)"
Bridgeport School District,John Winthrop School,Public Schools,0153611,85 Eckart St.,Bridgeport,06606-1199,203-576-7769,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"85 Eckart St.
Bridgeport, CT 06606-1199
(41.221672, -73.232467)"
New Haven School District,Engineering - Science University Magnet School,Public Schools,0931711,500 Boston Post Road,West Haven,06516,475-220-6000,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2008-09-02T00:00:00.000,1,"500 Boston Post Road
West Haven, CT 06516
(41.290631, -72.966294)"
Ashford School District,Ashford School District,Public School Districts,0030011,440 Westford Rd.,Ashford,06278,860-429-1927,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"440 Westford Rd.
Ashford, CT 06278
(41.892257, -72.17014)"
Area Cooperative Educational Services,Area Cooperative Educational Services,Regional Education Service Center School Districts,2440014,350 State Street,North Haven,06473,203-498-6817,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2000-07-01T00:00:00.000,0,"350 State Street
North Haven, CT 06473
(41.369271, -72.886553)"
East Windsor School District,East Windsor High School,Public Schools,0476111,76 South Main St.,East Windsor,06088-9741,860-623-3361,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"76 South Main St.
East Windsor, CT 06088-9741
(41.901595, -72.610586)"
Rocky Hill School District,Myrtle H. Stevens School,Public Schools,1190411,322 Orchard St.,Rocky Hill,06067-2021,860-258-7751,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"322 Orchard St.
Rocky Hill, CT 06067-2021
(41.669182, -72.657339)"
Greenwich School District,International School At Dundee,Public Schools,0571311,55 Florence Rd.,Riverside,06878,203-637-3800,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1999-07-01T00:00:00.000,0,"55 Florence Rd.
Riverside, CT 06878
(41.052489, -73.575049)"
Montville School District,Mohegan School,Public Schools,0860111,49 Golden Rd.,Uncasville,06382-1714,860-848-9261,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"49 Golden Rd.
Uncasville, CT 06382-1714
(41.476961, -72.094921)"
Trumbull School District,Trumbull School District,Public School Districts,1440011,6254 Main Street,Trumbull,06611,203-452-4301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"6254 Main Street
Trumbull, CT 06611
(41.268986, -73.225603)"
Bloomfield School District,Learning Academy at Bloomfield,Public Schools,0116411,20-28 Sargeant Street,Hartford,06105,860-761-7300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2012-09-04T00:00:00.000,0,"20-28 Sargeant Street
Hartford, CT 06105
(41.774597, -72.688045)"
Norwalk School District,Cranbury Elementary School,Public Schools,1030411,5 Knowalot Lane,Norwalk,06851-1399,203-846-3600,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"5 Knowalot Lane
Norwalk, CT 06851-1399
(41.156034, -73.402249)"
Wolcott School District,Wakelee School,Public Schools,1660511,12 Hempel Dr.,Wolcott,06716-1799,203-879-8154,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"12 Hempel Dr.
Wolcott, CT 06716-1799
(41.60863, -73.00945)"
Litchfield School District,Litchfield Middle School,Public Schools,0746011,14 Plumb Hill Road,Litchfield,06759-0110,860-567-7540,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2015-09-02T00:00:00.000,,"14 Plumb Hill Road
Litchfield, CT 06759-0110
(41.741886, -73.205297)"
Bristol School District,Chippens Hill Middle School,Public Schools,0175111,551 Peacedale St.,Bristol,06010-8939,860-584-3881,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1992-07-01T00:00:00.000,0,"551 Peacedale St.
Bristol, CT 06010-8939
(41.700788, -72.964688)"
New Milford School District,Schaghticoke Middle School,Public Schools,0965211,23 Hipp Rd.,New Milford,06776-2223,860-354-2204,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"23 Hipp Rd.
New Milford, CT 06776-2223
(41.619487, -73.392124)"
Granby School District,Wells Road Intermediate School,Public Schools,0560311,134 Wells Rd.,Granby,06035-1009,860-844-3048,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"134 Wells Rd.
Granby, CT 06035-1009
(41.990725, -72.809141)"
Regional School District 19,Regional School District 19,Regional School Districts,2190012,1235 Storrs Road,Storrs,06268,860-487-1862,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2002-07-01T00:00:00.000,0,"1235 Storrs Road
Storrs, CT 06268
(41.803486, -72.242988)"
Fairfield School District,Riverfield School,Public Schools,0511211,1625 Mill Plain Rd.,Fairfield,06824,203-255-8328,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1625 Mill Plain Rd.
Fairfield, CT 06824
(41.162568, -73.266435)"
East Hampton School District,East Hampton Middle School,Public Schools,0425111,19 Childs Rd.,East Hampton,06424-1709,860-365-4060,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"19 Childs Rd.
East Hampton, CT 06424-1709
(41.569159, -72.522432)"
Newington School District,John Paterson School,Public Schools,0940811,120 Church St.,Newington,06111-4801,860-666-4657,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"120 Church St.
Newington, CT 06111-4801
(41.669796, -72.738902)"
Thompson School District,Thompson School District,Public School Districts,1410011,785 Riverside Drive,North Grosvenor,06255,860-923-9581,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"785 Riverside Drive
North Grosvenor, CT 06255
(41.976913, -71.900699)"
Brass City Charter School District,Brass City Charter School,Public Charter Schools,2900113,212 Chestnut Ave.,Waterbury,06710,203-527-5942,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2013-09-04T00:00:00.000,,"212 Chestnut Ave.
Waterbury, CT 06710
(41.565133, -73.049736)"
Union School District,Union School District,Public School Districts,1450011,18 Kinney Hollow Road,Union,06076,860-684-3146,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"18 Kinney Hollow Road
Union, CT 06076
(41.986933, -72.159857)"
Middletown School District,Spencer School,Public Schools,0830111,207 Westfield St.,Middletown,06457-2042,860-344-0711,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1990-07-01T00:00:00.000,0,"207 Westfield St.
Middletown, CT 06457-2042
(41.563709, -72.676595)"
Stamford School District,Roxbury School,Public Schools,1350911,751 Westhill Rd.,Stamford,06902-1413,203-977-4287,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"751 Westhill Rd.
Stamford, CT 06902-1413
(41.089035, -73.565109)"
Hartford School District,Global Communications Academy,Public Schools,0643611,85 Edwards Street,Hartford,06112-1826,860-695-6020,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2008-08-25T00:00:00.000,0,"85 Edwards Street
Hartford, CT 06112-1826
(41.774611, -72.681456)"
Milford School District,Mathewson School,Public Schools,0841711,466 West River St.,Milford,06460-1919,203-783-3527,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"466 West River St.
Milford, CT 06460-1919
(41.239475, -73.061631)"
Regional School District 11,Parish Hill High School,Regional Schools,2116112,304 Parish Hill Rd.,Chaplin,06235,860-455-9584,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"304 Parish Hill Rd.
Chaplin, CT 06235
(41.754074, -72.104711)"
North Branford School District,North Branford Intermediate School,Public Schools,0995111,654 Foxon Rd.,North Branford,06471-1108,203-484-1500,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"654 Foxon Rd.
North Branford, CT 06471-1108
(41.332479, -72.799495)"
Shelton School District,Mohegan School,Public Schools,1260911,47 Mohegan Rd.,Shelton,06484-2443,203-929-4121,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"47 Mohegan Rd.
Shelton, CT 06484-2443
(41.303636, -73.169935)"
Guilford School District,Guilford High School,Public Schools,0606111,605 New England Rd.,Guilford,06437-1838,203-453-2741,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"605 New England Rd.
Guilford, CT 06437-1838
(41.313761, -72.712301)"
Suffield School District,Suffield High School,Public Schools,1396111,1060 Sheldon Street,West Suffield,06093,860-668-3810,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"1060 Sheldon Street
West Suffield, CT 06093
(41.979067, -72.692437)"
Hartford School District,Kennelly School,Public Schools,0641011,180 White Street,Hartford,06114-2242,860-695-3860,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"180 White Street
Hartford, CT 06114-2242
(41.73482, -72.695022)"
New Hartford School District,New Hartford Elementary School,Public Schools,0920211,40 Wickett St.,New Hartford,06057-3326,860-379-8546,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"40 Wickett St.
New Hartford, CT 06057-3326
(41.87671, -72.96725)"
New Britain School District,Slade Middle School,Public Schools,0895211,183 Steele St.,New Britian,06052-1555,860-225-6395,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"183 Steele St.
New Britian, CT 06052-1555
(41.658635, -72.805985)"
Stamford School District,Toquam Magnet School,Public Schools,1351911,123 Ridgewood Ave.,Stamford,06907-2620,203-977-4556,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1990-07-01T00:00:00.000,0,"123 Ridgewood Ave.
Stamford, CT 06907-2620
(41.081511, -73.522919)"
Brookfield School District,Center Elementary School,Public Schools,0180311,8 Obtuse Hill Road,Brookfield,06804,203-775-7650,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"8 Obtuse Hill Road
Brookfield, CT 06804
(41.467008, -73.385454)"
New London School District,New London Visual and Performing Arts Magnet School,Public Schools,0951411,36 Waller Street,New London,06320,860-449-6800,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2016-09-01T00:00:00.000,1,"36 Waller Street
New London, CT 06320
(41.358579, -72.106743)"
Griswold School District,Griswold School District,Public School Districts,0580011,211 Slater Avenue,Griswold,06351,860-376-7600,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"211 Slater Avenue
Griswold, CT 06351
(41.598241, -71.979317)"
New Haven School District,New Haven Academy,Public Schools,0937011,444 Orange Street,New Haven,06511,475-220-6600,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1995-07-01T00:00:00.000,1,"444 Orange Street
New Haven, CT 06511
(41.312879, -72.918653)"
Colchester School District,William J. Johnston Middle School,Public Schools,0285111,360 Norwich Ave.,Colchester,06415-1272,860-537-2313,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"360 Norwich Ave.
Colchester, CT 06415-1272
(41.575855, -72.319342)"
Sprague School District,Sayles School,Public Schools,1330111,25 Scotland Road,Baltic,06330-1110,860-822-8264,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Scotland Road
Baltic, CT 06330-1110
(41.623899, -72.085022)"
East Hartford School District,Anna E. Norris School,Public Schools,0430911,40 Remington Rd.,East Hartford,06108-4010,860-622-5740,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"40 Remington Rd.
East Hartford, CT 06108-4010
(41.784929, -72.631363)"
Common Ground High School District,Common Ground High School,Public Charter Schools,2686113,358 Springside Ave.,New Haven,06515,203-389-4333,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1997-07-01T00:00:00.000,0,"358 Springside Ave.
New Haven, CT 06515
(41.337883, -72.958316)"
Ridgefield School District,Ridgefield School District,Public School Districts,1180011,70 Prospect Street,Ridgefield,06877,203-894-5550,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"70 Prospect Street
Ridgefield, CT 06877
(41.283912, -73.492639)"
Newtown School District,Middle Gate Elementary School,Public Schools,0970311,7 Cold Spring Rd.,Newtown,06470-2600,203-426-7662,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"7 Cold Spring Rd.
Newtown, CT 06470-2600
(41.367306, -73.275497)"
Bristol School District,Greene-Hills School,Public Schools,0170511,718 Pine St.,Bristol,06010-6923,860-584-7822,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1998-07-01T00:00:00.000,0,"718 Pine St.
Bristol, CT 06010-6923
(41.668922, -72.896402)"
Middletown School District,Lawrence School,Public Schools,0831311,Kaplan Dr.,Middletown,06457-1837,860-632-2158,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,
Stratford School District,IPP at Honeyspot School,Public Schools,1381611,55 Fotch St.,Stratford,06615,203-385-4188,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2009-07-01T00:00:00.000,0,"55 Fotch St.
Stratford, CT 06615
(41.180176, -73.142793)"
Plainville School District,Louis Toffolon School,Public Schools,1100511,145 NorthWest Dr.,Plainville,06062-1534,860-793-3280,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"145 NorthWest Dr.
Plainville, CT 06062-1534
(41.68608, -72.884822)"
Naugatuck School District,Western School,Public Schools,0880711,108 Pine St.,Naugatuck,06770-3723,203-720-5244,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"108 Pine St.
Naugatuck, CT 06770-3723
(41.493419, -73.069105)"
Bridgeport School District,Bridgeport Military Academy,Public Schools,0151611,160 Iranistan Avenue,Bridgeport,06605,203-275-3961,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2013-08-29T00:00:00.000,,"160 Iranistan Avenue
Bridgeport, CT 06605
(41.163892, -73.196338)"
Easton School District,Samuel Staples Elementary School,Public Schools,0460111,515 Morehouse Road,Easton,06612,203-261-3607,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"515 Morehouse Road
Easton, CT 06612
(41.239739, -73.286278)"
Ellington School District,Ellington High School,Public Schools,0486111,37 Maple St.,Ellington,06029-3333,860-896-2352,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"37 Maple St.
Ellington, CT 06029-3333
(41.907967, -72.46091)"
Windsor School District,Windsor School District,Public School Districts,1640011,601 Matianuck Avenue,Windsor,06095,860-687-2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"601 Matianuck Avenue
Windsor, CT 06095
(41.823999, -72.673022)"
Vernon School District,Northeast School,Public Schools,1460311,69 East St.,Rockville,06066-3837,860-870-6080,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"69 East St.
Rockville, CT 06066-3837
(41.861587, -72.431699)"
Learn,The Friendship School,Regional Education Service Center Schools,2450214,24 Rope Ferry Rd.,Waterford,06385,860-447-4049,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2005-07-01T00:00:00.000,1,"24 Rope Ferry Rd.
Waterford, CT 06385
(41.341863, -72.133807)"
West Hartford School District,Charter Oak International Academy,Public Schools,1550511,425 Oakwood Ave.,West Hartford,06110,860-233-8506,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"425 Oakwood Ave.
West Hartford, CT 06110
(41.743197, -72.720623)"
Norfolk School District,Norfolk School District,Public School Districts,0980011,128 Greenwoods Rd East,Norfolk,06058,860-542-5553,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"128 Greenwoods Rd East
Norfolk, CT 06058
(41.988475, -73.189088)"
Waterbury School District,Waterbury School District,Public School Districts,1510011,"236 Grand Street, Chase Office Building",Waterbury,06702,203-574-8004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"236 Grand Street, Chase Office Building
Waterbury, CT 06702
(41.554526, -73.043802)"
Simsbury School District,Latimer Lane School,Public Schools,1280611,33 Mountain View Rd.,Weatogue,06089-9721,860-658-4774,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"33 Mountain View Rd.
Weatogue, CT 06089-9721
(41.840173, -72.821717)"
Waterbury School District,John F. Kennedy High School,Public Schools,1516411,422 Highland Ave.,Waterbury,06708-3443,203-574-8153,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"422 Highland Ave.
Waterbury, CT 06708-3443
(41.545447, -73.05588)"
Windham School District,Natchaug School,Public Schools,1630111,123 Jackson St.,Willimantic,06226,860-465-2380,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"123 Jackson St.
Willimantic, CT 06226
(41.71402, -72.206895)"
Norwich School District,Samuel Huntington School,Public Schools,1040811,80 West Town St.,Norwich,06360-2209,860-823-4204,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"80 West Town St.
Norwich, CT 06360-2209
(41.550437, -72.101018)"
Cromwell School District,Edna C. Stevens School,Public Schools,0330211,25 Court St.,Cromwell,06416-1617,860-632-4866,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Court St.
Cromwell, CT 06416-1617
(41.620278, -72.659116)"
East Granby School District,R. Dudley Seymour School,Public Schools,0400211,185 Hartford Ave.,East Granby,06026-9520,860-653-7214,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"185 Hartford Ave.
East Granby, CT 06026-9520
(41.932901, -72.768076)"
Path Academy District,Path Academy,Public Charter Schools,2930113,832-842 Main Street,Willimantic,06226,860-336-4200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2014-08-18T00:00:00.000,,"832-842 Main Street
Willimantic, CT 06226
(41.712357, -72.214804)"
Brooklyn School District,Brooklyn Elementary School,Public Schools,0190111,119 Gorman Rd.,Brooklyn,06234-1805,860-774-7577,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"119 Gorman Rd.
Brooklyn, CT 06234-1805
(41.785534, -71.934586)"
Groton School District,Claude Chester School,Public Schools,0590311,1 Harry Day Drive,Groton,06340,860-449-5636,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1 Harry Day Drive
Groton, CT 06340
(41.347836, -72.026867)"
Marlborough School District,Elmer Thienes-Mary Hall Elementary School,Public Schools,0790111,25 School Dr.,Marlborough,06447-1507,860-295-6220,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"25 School Dr.
Marlborough, CT 06447-1507
(41.62726, -72.460539)"
Waterbury School District,Maloney Interdistrict Magnet School,Public Schools,1513111,233 South Elm St.,Waterbury,06706,203-574-8162,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1996-07-01T00:00:00.000,1,"233 South Elm St.
Waterbury, CT 06706
(41.549871, -73.038349)"
Regional School District 06,Regional School District 06,Regional School Districts,2060012,98 WAMOGO Road,Litchfield,06759,860-567-7400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"98 WAMOGO Road
Litchfield, CT 06759
(41.727151, -73.22482)"
Regional School District 17,Burr District Elementary School,Regional Schools,2170212,792 Killingworth Road,Higganum,06441-4472,860-345-4584,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"792 Killingworth Road
Higganum, CT 06441-4472
(41.4443, -72.555633)"
Wallingford School District,James H. Moran Middle School,Public Schools,1485311,141 Hope Hill Road,Wallingford,06492-2227,203-741-2900,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"141 Hope Hill Road
Wallingford, CT 06492-2227
(41.485561, -72.833499)"
Orange School District,Peck Place School,Public Schools,1070511,500 Peck Ln.,Orange,06477-2948,203-891-8034,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"500 Peck Ln.
Orange, CT 06477-2948
(41.265651, -73.028913)"
Naugatuck School District,Andrew Avenue School,Public Schools,0880811,140 Andrew Ave.,Naugatuck,06770-4303,203-720-5221,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"140 Andrew Ave.
Naugatuck, CT 06770-4303
(41.484235, -73.065884)"
Achievement First Bridgeport Academy District,Achievement First Bridgeport Academy,Public Charter Schools,2850113,655 Stillman St.,Bridgeport,06608-1331,203-338-0593,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2007-08-02T00:00:00.000,0,"655 Stillman St.
Bridgeport, CT 06608-1331
(41.192324, -73.175945)"
West Haven School District,Washington School,Public Schools,1561211,369 Washington Ave.,West Haven,06516-5328,203-931-6880,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"369 Washington Ave.
West Haven, CT 06516-5328
(41.268737, -72.946443)"
Unified School District #1,Northern Correctional Institution,State Agency Facilities,3362615,287 Bilton Rd.,Somers,06071,860-763-8694,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2001-07-01T00:00:00.000,0,"287 Bilton Rd.
Somers, CT 06071
(42.020723, -72.502454)"
Chester School District,Chester School District,Public School Districts,0260011,1 Winthrop Road,Deep River,06417,860-526-2417,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"1 Winthrop Road
Deep River, CT 06417
(41.369021, -72.457652)"
Hartford School District,Bulkeley High School,Public Schools,0647111,300 Wethersfield Avenue,Hartford,06114-1409,860-695-1011,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2009-07-01T00:00:00.000,0,"300 Wethersfield Avenue
Hartford, CT 06114-1409
(41.74763, -72.673464)"
Westbrook School District,Westbrook Middle School,Public Schools,1545111,154 McVeagh Rd.,Westbrook,06498,860-399-2010,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"154 McVeagh Rd.
Westbrook, CT 06498
(41.29815, -72.456647)"
Judicial Centers,Hartford Detention Center,State Agency Facilities,3480315,920 Broad St.,Hartford,06106,860-244-7965,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2009-05-14T00:00:00.000,0,"920 Broad St.
Hartford, CT 06106
(41.75687, -72.687045)"
Simsbury School District,Tootin' Hills School,Public Schools,1280411,25 Nimrod Rd.,West Simsbury,06092-2520,860-658-7629,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"25 Nimrod Rd.
West Simsbury, CT 06092-2520
(41.860788, -72.860821)"
Stamford School District,The Academy of Information Technology,Public Schools,1356411,411 High Ridge Road,Stamford,06905,203-977-4336,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2003-07-01T00:00:00.000,1,"411 High Ridge Road
Stamford, CT 06905
(41.085501, -73.54908)"
North Haven School District,Montowese Elementary School,Public Schools,1010211,145 Fitch St.,North Haven,06473-3706,203-239-2564,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"145 Fitch St.
North Haven, CT 06473-3706
(41.35465, -72.850797)"
Wolcott School District,Alcott School,Public Schools,1660611,1490 Woodtick Rd.,Wolcott,06716-1538,203-879-8160,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1490 Woodtick Rd.
Wolcott, CT 06716-1538
(41.612918, -72.960083)"
Plainfield School District,Plainfield Central School,Public Schools,1095111,75 Canterbury Rd.,Plainfield,06374-1556,860-564-6437,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"75 Canterbury Rd.
Plainfield, CT 06374-1556
(41.683666, -71.930014)"
Regional School District 07,Regional School District 07,Regional School Districts,2070012,100 Battistoni Drive,Winsted,06098,860-379-1084,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"100 Battistoni Drive
Winsted, CT 06098
(41.912429, -73.048473)"
Fairfield School District,Fairfield Woods Middle School,Public Schools,0515211,1115 Fairfield Woods Rd.,Fairfield,06824,203-255-8334,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"1115 Fairfield Woods Rd.
Fairfield, CT 06824
(41.188306, -73.249493)"
Tolland School District,Birch Grove Primary School,Public Schools,1420111,247 Rhodes RD,Tolland,06084-3568,860-870-6750,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1999-07-01T00:00:00.000,0,"247 Rhodes RD
Tolland, CT 06084-3568
(41.859292, -72.333965)"
Southington School District,South End Elementary School,Public Schools,1310711,10 Maxwell-Noble Drive,Plantsville,06479,860-628-3320,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"10 Maxwell-Noble Drive
Plantsville, CT 06479
(41.568676, -72.877562)"
Manchester School District,Manchester High School,Public Schools,0776111,134 MiddleTpke E,Manchester,06040-4260,860-647-3530,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"134 MiddleTpke E
Manchester, CT 06040-4260
(41.783905, -72.516998)"
Trumbull School District,Jane Ryan School,Public Schools,1440411,190 Park Ln.,Trumbull,06611-2399,203-452-4400,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"190 Park Ln.
Trumbull, CT 06611-2399
(41.252876, -73.227884)"
Wilton School District,Cider Mill School,Public Schools,1610711,240 School Rd.,Wilton,06897-2507,203-762-3351,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"240 School Rd.
Wilton, CT 06897-2507
(41.206003, -73.43086)"
Elm City Montessori School District,Elm City Montessori School,Public Charter Schools,2910113,375 Quinnipiac Avenue,New Haven,06513,203-903-4031,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2014-08-18T00:00:00.000,,"375 Quinnipiac Avenue
New Haven, CT 06513
(41.300644, -72.890091)"
